"Disc Golf Courses per 100,000 Residents",,,
2013,,,
City,Population,Disc Golf Courses,"Courses per 100,000 Residents"
Durham,"239,358",4,1.7
Tampa,"347,645",5,1.4
Lexington/Fayette,"305,489",4,1.3
Tulsa,"393,987",5,1.3
Madison,"240,323",3,1.2
Bakersfield,"358,597",4,1.1
Anchorage,"298,610",3,1.0
Charlotte/Mecklenburg,"969,031",10,1.0
Milwaukee,"598,916",6,1.0
Kansas City,"464,310",4,0.9
Fort Wayne,"254,555",2,0.8
Lubbock,"236,065",2,0.8
Minneapolis,"392,880",3,0.8
Orlando,"249,562",2,0.8
St. Petersburg,"246,541",2,0.8
Mesa,"452,084",3,0.7
Omaha,"421,570",3,0.7
Stockton,"297,984",2,0.7
Austin,"842,592",5,0.6
Albuquerque,"555,417",3,0.5
"Arlington, Virginia","221,045",1,0.5
Denver,"634,265",3,0.5
Nashville/Davidson,"648,295",3,0.5
Oklahoma City,"599,199",3,0.5
Raleigh,"423,179",2,0.5
Columbus,"809,798",3,0.4
Fort Worth,"777,992",3,0.4
Glendale,"232,143",1,0.4
Greensboro,"277,080",1,0.4
Henderson,"265,679",1,0.4
Indianapolis,"834,852",3,0.4
Jacksonville,"836,507",3,0.4
Plano,"272,068",1,0.4
Sacramento,"475,516",2,0.4
Virginia Beach,"447,021",2,0.4
Anaheim,"343,248",1,0.3
"Arlington, Texas","375,600",1,0.3
Aurora,"339,030",1,0.3
Louisville/Jefferson,"750,828",2,0.3
New Orleans,"369,250",1,0.3
St. Louis,"318,172",1,0.3
St. Paul,"290,770",1,0.3
Atlanta,"443,775",1,0.2
Baltimore,"621,342",1,0.2
Colorado Springs,"431,834",1,0.2
Fresno,"505,882",1,0.2
Houston,"2,160,821",5,0.2
Las Vegas,"596,424",1,0.2
Long Beach,"467,892",1,0.2
Memphis,"655,155",1,0.2
Portland,"603,106",1,0.2
Seattle,"634,535",1,0.2
Tucson,"524,295",1,0.2
Dallas,"1,241,162",1,0.1
Philadelphia,"1,547,607",1,0.1
Phoenix,"1,488,750",2,0.1
San Antonio,"1,382,951",2,0.1
San Diego,"1,338,348",1,0.1
San Francisco,"825,863",1,0.1
Boston,"636,479",0,0.0
Buffalo,"259,384",0,0.0
Chesapeake,"228,417",0,0.0
Chicago,"2,714,856",0,0.0
Chula Vista,"252,422",0,0.0
Cincinnati,"296,550",0,0.0
Cleveland,"390,928",0,0.0
Corpus Christi,"312,195",0,0.0
Detroit,"701,475",0,0.0
El Paso,"672,538",0,0.0
Fremont,"221,986",0,0.0
Gilbert,"221,140",0,0.0
Hialeah,"231,941",0,0.0
Irvine,"229,985",0,0.0
Jersey City,"254,441",0,0.0
Laredo,"244,731",0,0.0
Los Angeles,"3,857,799",0,0.0
Miami,"413,892",0,0.0
New York,"8,336,697",0,0.0
Newark,"277,727",0,0.0
Norfolk,"245,782",0,0.0
Oakland,"400,740",0,0.0
Pittsburgh,"306,211",0,0.0
Reno,"231,027",0,0.0
Riverside,"313,673",0,0.0
San Bernardino,"213,295",0,0.0
San Jose,"982,765",0,0.0
Santa Ana,"330,920",0,0.0
Scottsdale,"223,514",0,0.0
Toledo,"284,012",0,0.0
"Washington, D.C.","632,323",0,0.0
Wichita,"385,577",0,0.0
Winston-Salem,"234,349",0,0.0
Honolulu,"345,610",N.A.,
Baton Rouge,"230,058",N.A.,
Boise,"212,303",N.A.,
Chandler,"245,628",N.A.,
Garland,"233,564",N.A.,
Irving,"225,427",N.A.,
Lincoln,"265,404",N.A.,
North Las Vegas,"223,491",N.A.,
TOTAL,,138,
,,,
