"Ice Skating Rinks per 100,000 Residents",,,
2013,,,
City,Population,Ice Rinks,"Rinks per 100,000 Residents"
Minneapolis,"392,880",48,12.2
St. Paul,"290,770",26,8.9
Madison,"240,323",12,5.0
Boston,"636,479",13,2.0
Anchorage,"298,610",6,2.0
Buffalo,"259,384",4,1.5
Milwaukee,"598,916",5,0.8
Colorado Springs,"431,834",2,0.5
Detroit,"701,475",3,0.4
Cleveland,"390,928",1,0.3
Omaha,"421,570",2,0.5
Chicago,"2,714,856",11,0.4
Jersey City,"254,441",1,0.4
Fort Wayne,"254,555",1,0.4
Newark,"277,727",1,0.4
Pittsburgh,"306,211",1,0.3
Indianapolis,"834,852",2,0.2
Denver,"634,265",1,0.2
Columbus,"809,798",1,0.1
New York,"8,336,697",10,0.1
Aurora,"339,030",0,0.0
Cincinnati,"296,550",0,0.0
Lincoln,"265,404",0,0.0
Portland,"603,106",0,0.0
San Diego,"1,338,348",0,0.0
Seattle,"634,535",0,0.0
Toledo,"284,012",N.A.,0.0
Boise,"212,303",2,0.9
Baltimore,"621,342",3,0.5
Reno,"231,027",1,0.4
San Francisco,"825,863",3,0.4
Philadelphia,"1,547,607",5,0.3
St. Louis,"318,172",1,0.3
Nashville/Davidson,"648,295",2,0.3
Wichita,"385,577",1,0.3
Oakland,"400,740",1,0.2
Kansas City,"464,310",1,0.2
"Washington, D.C.","632,323",1,0.2
Albuquerque,"555,417",0,0.0
"Arlington, Virginia","221,045",0,0.0
Chula Vista,"252,422",0,0.0
Fremont,"221,986",0,0.0
Lexington/Fayette,"305,489",0,0.0
Long Beach,"467,892",0,0.0
Louisville/Jefferson,"750,828",0,0.0
Norfolk,"245,782",0,0.0
San Jose,"982,765",0,0.0
Virginia Beach,"447,021",0,0.0
Winston-Salem,"234,349",0,0.0
Greensboro,"277,080",1,0.4
Stockton,"297,984",1,0.3
Oklahoma City,"599,199",2,0.3
Atlanta,"443,775",1,0.2
Sacramento,"475,516",1,0.2
Dallas,"1,241,162",1,0.1
Los Angeles,"3,857,799",1,0.0
Anaheim,"343,248",0,0.0
"Arlington, Texas","375,600",0,0.0
Charlotte/Mecklenburg,"969,031",0,0.0
Chesapeake,"228,417",0,0.0
Durham,"239,358",0,0.0
El Paso,"672,538",0,0.0
Fort Worth,"777,992",0,0.0
Irvine,"229,985",0,0.0
Irving,"225,427",0,0.0
Lubbock,"236,065",0,0.0
Memphis,"655,155",0,0.0
Plano,"272,068",0,0.0
Raleigh,"423,179",0,0.0
Riverside,"313,673",0,0.0
Santa Ana,"330,920",0,0.0
Tulsa,"393,987",0,0.0
Gilbert,"221,140",1,0.5
Tampa,"347,645",1,0.3
Bakersfield,"358,597",1,0.3
Austin,"842,592",0,0.0
Baton Rouge,"230,058",0,0.0
Chandler,"245,628",0,0.0
Corpus Christi,"312,195",0,0.0
Fresno,"505,882",0,0.0
Glendale,"232,143",0,0.0
Hialeah,"231,941",N.A.,0.0
Honolulu,"345,610",N.A.,0.0
Jacksonville,"836,507",0,0.0
Laredo,"244,731",0,0.0
Las Vegas,"596,424",0,0.0
Mesa,"452,084",0,0.0
Miami,"413,892",0,0.0
New Orleans,"369,250",0,0.0
North Las Vegas,"223,491",0,0.0
Phoenix,"1,488,750",0,0.0
San Antonio,"1,382,951",0,0.0
San Bernardino,"213,295",0,0.0
St. Petersburg,"246,541",0,0.0
Tucson,"524,295",0,0.0
"TOTAL, All Cities:",,183,
"MEDIAN, All Cities:",,,0.0
